bedrooms,bathrooms,sqft_living,avg_price
4,2.0,1200,198000.0
2,1.75,6840,3278000.0
2,0.75,660,100000.0
5,5.0,8000,5350000.0
2,1.0,600,141000.0
5,3.75,4590,3000000.0
1,0.75,470,156000.0
6,8.0,12050,7700000.0
4,3.75,5090,3000000.0
4,1.5,1410,139000.0
5,6.25,8670,2888000.0
3,4.25,5510,3800000.0
3,1.0,790,170000.0
5,3.75,5020,3650000.0
4,3.5,5550,3710000.0
4,1.5,2170,195000.0
5,5.75,9200,5570000.0
1,1.0,480,170000.0
4,4.0,4130,2750000.0
3,1.0,760,167500.0
2,0.75,720,151000.0
1,0.75,780,190000.0
4,3.25,4430,2750000.0
3,1.5,970,182250.0
5,5.0,5450,3418800.0
4,1.5,1160,199000.0
4,1.5,1450,175409.0
3,1.0,1384,180000.0
2,1.5,1560,181000.0
0,0.0,844,139950.0
1,0.75,850,170000.0
5,1.5,1710,158550.0
1,1.5,1048,199950.0
3,0.75,850,132500.0
3,1.5,910,198300.0
1,2.0,1150,171000.0
5,3.75,5350,3345000.0
6,2.5,1560,194990.0
5,1.75,1798,199900.0
2,1.0,1122,185000.0
6,7.75,9890,6885000.0
5,2.75,1650,183750.0
1,1.0,780,169000.0
5,4.0,6670,2998000.0
4,3.5,4730,2924250.0
4,4.75,4575,2920000.0
4,2.0,1460,150000.0
5,1.5,1990,178000.0
2,2.5,1660,160000.0
5,5.5,6640,4500000.0
3,4.5,5230,3400000.0
5,4.5,10040,7062500.0
4,4.0,4260,3400000.0
4,4.25,4850,3000000.0
3,2.75,2270,199950.0
6,4.25,6980,3100000.0
5,4.0,6300,2750000.0
1,1.0,500,125000.0
5,5.5,7050,3800000.0
4,1.5,1130,194975.0
5,5.25,5090,3100000.0
1,0.0,670,75000.0
2,1.75,910,196500.0
5,4.75,6200,3300000.0
4,0.75,1440,142500.0
5,6.0,5490,3635000.0
3,3.0,3920,3100000.0
5,6.25,8020,3300000.0
3,1.0,840,171968.125
5,4.75,6240,2950000.0
2,1.0,580,155000.0
5,3.25,4590,2795000.0
3,3.5,4410,3000000.0
1,0.75,430,80000.0
5,5.5,7400,2983000.0
3,3.5,4490,3120000.0
4,5.5,7080,4000000.0
4,5.0,4550,3075000.0
3,2.5,3930,3070000.0
3,1.5,760,190000.0
1,0.75,840,174000.0
3,3.25,4220,3300000.0
5,3.5,4330,3168750.0
4,2.5,5760,2880500.0
2,2.5,1000,191900.0
5,2.5,3750,2903000.0
4,3.25,5050,2900000.0
4,3.0,6430,4489000.0
5,3.25,5370,3000000.0
5,6.0,7440,4208000.0
8,4.0,7710,3300000.0
2,1.5,1360,175000.0
2,0.75,550,115000.0
5,4.0,5190,2900000.0
1,1.0,870,157000.0
5,3.0,4150,3065000.0
3,0.75,490,150000.0
1,1.0,560,98000.0
4,4.0,4810,3204000.0
2,1.75,1100,189650.0
5,1.75,1680,175000.0
6,4.75,5480,3650000.0
4,4.25,5770,3850000.0
5,6.75,9640,4668000.0
7,3.0,5350,2885000.0
2,1.0,828,110000.0
6,6.0,7390,5300000.0
2,1.75,590,156000.0
4,3.25,4580,2900000.0
1,1.0,650,129000.0
1,1.0,470,192500.0
4,4.0,5780,2890000.0
3,3.25,5020,3600000.0
4,3.25,7000,3200000.0
3,1.0,902,152000.0
2,0.5,580,109000.0
3,1.0,780,180000.0
0,0.0,290,142000.0
6,5.0,7100,3200000.0
4,4.25,4470,2950000.0
5,1.75,1990,185000.0
5,5.25,8010,5110800.0
2,1.0,520,82500.0
4,3.25,4830,3640900.0
2,2.75,1590,199950.0
5,4.5,4340,2945000.0
1,0.75,480,145000.0
4,4.0,5040,2850000.0
3,3.25,4560,3200000.0
5,2.5,1740,199950.0
7,4.5,6210,3200000.0
2,1.75,1020,187000.0
3,1.5,800,191000.0
4,3.5,4860,2950000.0
