Feature,Correlation
sqft_living,0.7020350546118005
grade,0.6674342560202353
sqft_above,0.6055672983560784
sqft_living15,0.5853789035795692
bathrooms,0.5251375054139628
view,0.39729348829450273
sqft_basement,0.32381602071198434
bedrooms,0.30834959814563934
lat,0.3070034799952544
waterfront,0.26636943403060204
floors,0.25679388755071897
yr_renovated,0.1264337934408933
IsRenovated,0.1260922627113945
sqft_lot,0.0896608605871003
sqft_lot15,0.08244715251948542
yr_built,0.05401153149479249
condition,0.03636178912899721
long,0.021626241039335418
zipcode,-0.05320285429829216
